C,
0.021282624,
-0.010840987,
0.001918906,
0.000451303,
0.000946002,
0.000614818,
0.00078593,
0.000686448,
0.000581181,
0.000233393,
0.000881982,
0.000133682,
0.000475815,
0.00029541,
0.000277195,
0.000282122,
0.000412443,
0.000293709,
0.000337803,
0.000278672,
0.000219569,
0.000297914,
0.000156729,
0.000235326,
0.000133121,
0.000179832,
-2.57E-05,
-0.000106062,
-1.70E-07,
0.000137385,
0.00016812,
-0.010840987,
0.028155523,
-0.002217372,
0.001702096,
7.49E-05,
0.000322072,
0.000380364,
0.000273869,
0.000424157,
0.000487528,
0.000266347,
0.000303495,
0.000406317,
0.000468708,
0.000447992,
0.000398765,
0.000464972,
0.000403793,
0.000455978,
0.000468308,
0.000417199,
0.000444382,
0.000351282,
0.000399516,
8.40E-05,
0.000167664,
-8.66E-05,
1.54E-05,
-2.11E-06,
7.63E-05,
0.000243036,
0.001918906,
-0.002217372,
0.006162082,
-0.001593345,
0.001463033,
0.000419102,
0.000715039,
0.000580567,
0.000664662,
0.000465883,
0.000613823,
0.000268641,
0.00057085,
0.000376127,
0.000405972,
0.000352803,
0.000456079,
0.000340168,
0.000412555,
0.000355266,
0.000317787,
0.000341862,
0.000242845,
0.00028907,
0.000119407,
0.00015244,
-6.96E-05,
-3.31E-05,
-4.47E-05,
3.76E-05,
0.000209113,
0.000451303,
0.001702096,
-0.001593345,
0.00523509,
-0.000722252,
0.00077657,
0.000588303,
0.000591845,
0.000583386,
0.000403702,
0.000651305,
0.000212968,
0.000555068,
0.00035305,
0.000355136,
0.00032329,
0.000442339,
0.00031971,
0.000372439,
0.000337532,
0.00028863,
0.000343688,
0.000210887,
0.000272229,
9.21E-05,
0.000167489,
-4.85E-05,
-2.94E-05,
-2.11E-05,
5.08E-05,
0.000229595,
0.000946002,
7.49E-05,
0.001463033,
-0.000722252,
0.007303522,
-0.000508652,
0.001026117,
0.000514324,
0.000596399,
0.000315228,
0.00062113,
0.000247795,
0.000493729,
0.000320658,
0.000375788,
0.00029097,
0.000383356,
0.000286691,
0.000350944,
0.000300007,
0.000269558,
0.000313237,
0.00019808,
0.000251568,
9.99E-05,
0.000126009,
1.87E-05,
4.64E-05,
1.37E-05,
1.04E-05,
0.000203765,
0.000614818,
0.000322072,
0.000419102,
0.00077657,
-0.000508652,
0.003150025,
-0.000249896,
0.000800073,
0.000431431,
0.000358981,
0.000414483,
0.000173046,
0.000514352,
0.00023187,
0.000248695,
0.000221819,
0.000293081,
0.000187661,
0.000245501,
0.00019805,
0.000175045,
0.000231984,
0.000126245,
0.000210222,
0.000103663,
0.00017015,
5.19E-05,
6.61E-05,
-8.06E-06,
-5.17E-05,
0.000308074,
0.00078593,
0.000380364,
0.000715039,
0.000588303,
0.001026117,
-0.000249896,
0.003729334,
-8.84E-05,
0.0007306,
0.000321995,
0.000592538,
0.000188649,
0.0005466,
0.000316641,
0.000342835,
0.00029086,
0.000389871,
0.000267875,
0.000341114,
0.000285628,
0.000252791,
0.000301912,
0.000189221,
0.000242567,
0.000122386,
0.000159692,
3.52E-05,
7.24E-05,
3.03E-05,
2.85E-05,
0.00025527,
0.000686448,
0.000273869,
0.000580567,
0.000591845,
0.000514324,
0.000800073,
-8.84E-05,
0.003222145,
-0.000143112,
0.000568798,
0.000421418,
0.000203977,
0.000491705,
0.000257279,
0.000280045,
0.000240743,
0.000301341,
0.000221628,
0.000275595,
0.000227751,
0.000210134,
0.000249085,
0.000148156,
0.00022035,
0.000123812,
0.000160877,
4.39E-05,
6.92E-05,
2.70E-05,
7.79E-06,
0.000253807,
0.000581181,
0.000424157,
0.000664662,
0.000583386,
0.000596399,
0.000431431,
0.0007306,
-0.000143112,
0.003225736,
-0.00050835,
0.00077407,
0.000156285,
0.000502059,
0.000273673,
0.000323517,
0.000276063,
0.000370227,
0.00026014,
0.000316511,
0.000273254,
0.000231212,
0.000273573,
0.000171827,
0.000226395,
0.000111615,
0.00015401,
-2.96E-07,
2.99E-05,
2.00E-05,
2.39E-05,
0.000206608,
0.000233393,
0.000487528,
0.000465883,
0.000403702,
0.000315228,
0.000358981,
0.000321995,
0.000568798,
-0.00050835,
0.005646481,
-0.001735576,
0.000691237,
0.000295455,
0.000362185,
0.000316017,
0.000305496,
0.000370523,
0.000280994,
0.000346989,
0.000313836,
0.000276662,
0.000310391,
0.000217347,
0.000274741,
0.000131551,
0.000175464,
3.86E-05,
0.000118611,
7.85E-05,
4.84E-05,
0.000303358,
0.000881982,
0.000266347,
0.000613823,
0.000651305,
0.00062113,
0.000414483,
0.000592538,
0.000421418,
0.00077407,
-0.001735576,
0.008630659,
-0.001642713,
0.000944103,
0.000152009,
0.000253089,
0.000184542,
0.000274039,
0.000202076,
0.000254017,
0.00023389,
0.000196656,
0.000237661,
0.000156792,
0.000207228,
2.70E-05,
0.000115257,
-3.29E-05,
7.17E-06,
-1.54E-05,
6.00E-07,
0.000176667,
0.000133682,
0.000303495,
0.000268641,
0.000212968,
0.000247795,
0.000173046,
0.000188649,
0.000203977,
0.000156285,
0.000691237,
-0.001642713,
0.003855067,
-0.000754075,
0.000502756,
0.000225397,
0.000278958,
0.000294961,
0.000274425,
0.00028545,
0.00025319,
0.000239108,
0.000255309,
0.000173928,
0.000229112,
0.000181073,
0.000177596,
9.31E-05,
0.000124847,
0.000132107,
0.000108979,
0.000227395,
0.000475815,
0.000406317,
0.00057085,
0.000555068,
0.000493729,
0.000514352,
0.0005466,
0.000491705,
0.000502059,
0.000295455,
0.000944103,
-0.000754075,
0.004340087,
-0.000634336,
0.000660648,
0.000240837,
0.000411493,
0.000256067,
0.000326386,
0.00027689,
0.000235663,
0.000290091,
0.000184134,
0.000256198,
0.000135795,
0.000222702,
9.05E-05,
0.000152727,
6.73E-05,
1.74E-05,
0.000318263,
0.00029541,
0.000468708,
0.000376127,
0.00035305,
0.000320658,
0.00023187,
0.000316641,
0.000257279,
0.000273673,
0.000362185,
0.000152009,
0.000502756,
-0.000634336,
0.002986673,
-0.000514603,
0.000479172,
0.000340223,
0.000363659,
0.000377015,
0.000362843,
0.000315305,
0.00034317,
0.000265968,
0.000311669,
0.000144823,
0.000198974,
1.73E-05,
6.28E-05,
8.69E-05,
0.000147009,
0.000226864,
0.000277195
0.000447992,
0.000405972,
0.000355136,
0.000375788,
0.000248695,
0.000342835,
0.000280045,
0.000323517,
0.000316017,
0.000253089,
0.000225397,
0.000660648,
-0.000514603,
0.003592044,
-0.000134216,
0.000606822,
0.000333061,
0.000422899,
0.000374513,
0.000333586,
0.000349346,
0.000267175,
0.000300631,
0.00015709,
0.000184592,
9.60E-06,
7.13E-05,
8.52E-05,
0.000136322,
0.000202429,
0.000282122,
0.000398765,
0.000352803,
0.00032329,
0.00029097,
0.000221819,
0.00029086,
0.000240743,
0.000276063,
0.000305496,
0.000184542,
0.000278958,
0.000240837,
0.000479172,
-0.000134216,
0.001401311,
2.29E-05,
0.000431277,
0.000343136,
0.000349739,
0.000302645,
0.000322094,
0.000245535,
0.000284339,
0.000171361,
0.000186957,
7.02E-05,
7.01E-05,
9.37E-05,
0.000142844,
0.000202001,
0.000412443,
0.000464972,
0.000456079,
0.000442339,
0.000383356,
0.000293081,
0.000389871,
0.000301341,
0.000370227,
0.000370523,
0.000274039,
0.000294961,
0.000411493,
0.000340223,
0.000606822,
2.29E-05,
0.00149105,
0.000141728,
0.000506885,
0.000386975,
0.000356913,
0.00039439,
0.000278932,
0.000306605,
0.000188955,
0.000212264,
8.00E-05,
7.13E-05,
0.000106955,
0.000145468,
0.000240718,
0.000293709,
0.000403793,
0.000340168,
0.00031971,
0.000286691,
0.000187661,
0.000267875,
0.000221628,
0.00026014,
0.000280994,
0.000202076,
0.000274425,
0.000256067,
0.000363659,
0.000333061,
0.000431277,
0.000141728,
0.001203298,
0.000200276,
0.000435419,
0.000331277,
0.000379685,
0.000281359,
0.000311646,
0.000184864,
0.000209274,
4.92E-05,
5.13E-05,
0.000110188,
0.000197508,
0.000181833,
0.000337803,
0.000455978,
0.000412555,
0.000372439,
0.000350944,
0.000245501,
0.000341114,
0.000275595,
0.000316511,
0.000346989,
0.000254017,
0.00028545,
0.000326386,
0.000377015,
0.000422899,
0.000343136,
0.000506885,
0.000200276,
0.001032996,
0.000258217,
0.000408927,
0.00039895,
0.000305937,
0.000330213,
0.000197822,
0.000223516,
7.87E-05,
7.93E-05,
0.000113886,
0.000174655,
0.000225597,
0.000278672,
0.000468308,
0.000355266,
0.000337532,,
0.000300007,
0.00019805,
0.000285628,
0.000227751,
0.000273254,
0.000313836,
0.00023389,
0.00025319,
0.00027689,
0.000362843,
0.000374513,
0.000349739,
0.000386975,
0.000435419,
0.000258217,
0.00108647,
0.000232432,
0.000453421,
0.000298174,
0.000328547,
0.00012035,
0.000189465,
-4.85E-05,
2.22E-05,
4.22E-05,
0.000142124,
0.000204618,
0.000219569,
0.000417199,
0.000317787,
0.00028863,
0.000269558,
0.000175045,
0.000252791,
0.000210134,
0.000231212,
0.000276662,
0.000196656,
0.000239108,
0.000235663,
0.000315305,
0.000333586,
0.000302645,
0.000356913,
0.000331277,
0.000408927,
0.000232432,
0.001006144,
0.000151418,
0.00032936,
0.000282835,
0.000169066,
0.000195905,
5.82E-05,
8.01E-05,
9.55E-05,
0.000192032,
0.000188343,
0.000297914,
0.000444382,
0.000341862,
0.000343688,
0.000313237,
0.000231984,
0.000301912,
0.000249085,
0.000273573,
0.000310391,
0.000237661,
0.000255309,
0.000290091,
0.00034317,
0.000349346,
0.000322094,
0.00039439,
0.000379685,
0.00039895,
0.000453421,
0.000151418,
0.001541517,
0.000124422,
0.000400416,
0.000199143,
0.000261942,
0.000150936,
0.000166477,
0.000202702,
0.000251701,
0.000251901,
0.000156729,
0.000351282,
0.000242845,
0.000210887,
0.00019808,
0.000126245,
0.000189221,
0.000148156,
0.000171827,
0.000217347,
0.000156792,
0.000173928,
0.000184134,
0.000265968,
0.000267175,
0.000245535,
0.000278932,
0.000281359,
0.000305937,
0.000298174,
0.00032936,
0.000124422,
0.001127332,
7.26E-05,
0.000227943,
0.000222758,
9.31E-05,
0.000118741,
9.36E-05,
0.000171476,
0.000161006,
0.000235326,
0.000399516,
0.00028907,
0.000272229,
0.000251568,
0.000210222,
0.000242567,
0.00022035,
0.000226395,
0.000274741,
0.000207228,
0.000229112,
0.000256198,
0.000311669,
0.000300631,
0.000284339,
0.000306605,
0.000311646,
0.000330213,
0.000328547,
0.000282835,
0.000400416,
7.26E-05,
0.001723965,
-0.000105897,
0.000406348,
-3.73E-06,
0.000180725,
0.00019024,
0.000198367,
0.000247589,
0.000133121,
8.40E-05,
0.000119407,
9.21E-05,
9.99E-05,
0.000103663,
0.000122386,
0.000123812,
0.000111615,
0.000131551,
2.70E-05,
0.000181073,
0.000135795,
0.000144823,
0.00015709,
0.000171361,
0.000188955,
0.000184864,
0.000197822,
0.00012035,
0.000169066,
0.000199143,
0.000227943,
-0.000105897,
0.001550097,
0.000144325,
0.000946276,
0.000502749,
0.000647941,
0.000437829,
0.000215654,
0.000179832,
0.000167664,
0.00015244,
0.000167489,
0.000126009,
0.00017015,
0.000159692,
0.000160877,
0.00015401,
0.000175464,
0.000115257,
0.000177596,
0.000222702,
0.000198974,
0.000184592,
0.000186957,
0.000212264,
0.000209274,
0.000223516,
0.000189465,
0.000195905,
0.000261942,
0.000222758,
0.000406348,
0.000144325,
0.001292063,
0.000187202,
0.000524369,
0.000393977,
0.000387887,
0.0002843,
-2.57E-05,
-8.66E-05,
-6.96E-05,
-4.85E-05,
1.87E-05,
5.19E-05,
3.52E-05,
4.39E-05,
-2.96E-07,
3.86E-05,
-3.29E-05,
9.31E-05,
9.05E-05,
1.73E-05,
9.60E-06,
7.02E-05,
8.00E-05,
4.92E-05,
7.87E-05,
-4.85E-05,
5.82E-05,
0.000150936,
9.31E-05,
-3.73E-06,
0.000946276,
0.000187202,
0.003941058,
0.000587008,
0.001657204,
0.000641831,
0.000346539,
-0.000106062,
1.54E-05,
-3.31E-05,
-2.94E-05,
4.64E-05,
6.61E-05,
7.24E-05,
6.92E-05,
2.99E-05,
0.000118611,
7.17E-06,
0.000124847,
0.000152727,
6.28E-05,
7.13E-05,
7.01E-05,
7.13E-05,
5.13E-05,
7.93E-05,
2.22E-05,
8.01E-05,
0.000166477,
0.000118741,
0.000180725,
0.000502749,
0.000524369,
0.000587008,
0.002980225,
0.00036072,
0.001124644,
0.000305919,
-1.70E-07,
-2.11E-06,
-4.47E-05,
-2.11E-05,
1.37E-05,
-8.06E-06,
3.03E-05,
2.70E-05,
2.00E-05,
7.85E-05,
-1.54E-05,
0.000132107,
6.73E-05,
8.69E-05,
8.52E-05,
9.37E-05,
0.000106955,
0.000110188,
0.000113886,
4.22E-05,
9.55E-05,
0.000202702,
9.36E-05,
0.00019024,
0.000647941,
0.000393977,
0.001657204,
0.00036072,
0.004465929,
-0.001891724,
0.000713689,
0.000137385,
7.63E-05,
3.76E-05,
5.08E-05,
1.04E-05,
-5.17E-05,
2.85E-05,
7.79E-06,
2.39E-05,
4.84E-05,
6.00E-07,
0.000108979,
1.74E-05,
0.000147009,
0.000136322,
0.000142844,
0.000145468,
0.000197508,
0.000174655,
0.000142124,
0.000192032,
0.000251701,
0.000171476,
0.000198367,
0.000437829,
0.000387887,
0.000641831,
0.001124644,
-0.001891724,
0.023902284,
-0.001826203,
0.00016812,
0.000243036,
0.000209113,
0.000229595,
0.000203765,
0.000308074,
0.00025527,
0.000253807,
0.000206608,
0.000303358,
0.000176667,
0.000227395,
0.000318263,
0.000226864,
0.000202429,
0.000202001,
0.000240718,
0.000181833,
0.000225597,
0.000204618,
0.000188343,
0.000251901,
0.000161006,
0.000247589,
0.000215654,
0.0002843,
0.000346539,
0.000305919,
0.000713689,
-0.001826203,
0.019169019,
